Datetime,Adj Close,Close,High,Low,Open,Volume
01/31/2023-00:00,22857.76563,22857.76563,22864.25195,22765.56836,22840.79688,0
01/31/2023-01:00,22858.32813,22858.32813,22870.33789,22797.08398,22855.97852,0
01/31/2023-02:00,22893.31836,22893.31836,22909.50195,22847.17969,22855.14844,0
01/31/2023-03:00,22861.80469,22861.80469,22890.26367,22858.86914,22890.26367,0
01/31/2023-04:00,22862.11719,22862.11719,22874.23047,22831.37891,22859.74414,0
01/31/2023-05:00,22811.49023,22811.49023,22876.63477,22811.49023,22864.33984,32851968
01/31/2023-06:00,22836.01953,22836.01953,22865.125,22789.78125,22811.58008,158156800
01/31/2023-07:00,22964.65234,22964.65234,22970.19922,22831.41211,22836.19531,199002112
01/31/2023-08:00,22904.79297,22904.79297,22984.05469,22877.01758,22967.37695,0
01/31/2023-09:00,22916.36719,22916.36719,22944.98242,22905.12891,22909,0
01/31/2023-10:00,22860.85156,22860.85156,22915.84375,22860.85156,22915.84375,0
01/31/2023-11:00,22896.26953,22896.26953,22896.26953,22851.39844,22862.25,0
01/31/2023-12:00,22923.81445,22923.81445,22926.375,22874.43164,22891.89063,0
01/31/2023-13:00,23093.8457,23093.8457,23093.8457,22915.92578,22921.76367,663474176
01/31/2023-14:00,23150.29492,23150.29492,23167.22852,23080.98438,23097.4707,350732288
01/31/2023-15:00,23133.66406,23133.66406,23185.14453,23113.51563,23148.70703,0
01/31/2023-16:00,23124.51758,23124.51758,23194.48438,23111.45898,23133.80469,112703488
01/31/2023-17:00,23155.86133,23155.86133,23175.67969,23110.09375,23122.85156,0
01/31/2023-18:00,23184.5293,23184.5293,23186.83594,23137.81641,23155.53516,0
01/31/2023-19:00,23172.80859,23172.80859,23186.79688,23114.26367,23186.43164,0
01/31/2023-20:00,23116.26172,23116.26172,23176.63477,23083.88086,23172.70898,0
01/31/2023-21:00,22939.33984,22939.33984,23125.46094,22884.88672,23116.43945,621959168
01/31/2023-22:00,23188.6582,23188.6582,23225.02148,22897.95117,22939.14453,399417344
01/31/2023-23:00,23139.36328,23139.36328,23184.46094,23100.55664,23184.46094,106780672
02/01/2023-00:00,23095.42773,23095.42773,23151.82813,23053.23828,23137.83594,23357440
02/01/2023-01:00,23133.88672,23133.88672,23166.13281,23070.18945,23095.35352,43714560
02/01/2023-02:00,23114.66211,23114.66211,23134.9082,23098.31641,23134.9082,0
02/01/2023-03:00,23124.64063,23124.64063,23124.64063,23076.84766,23113.83594,21141504
02/01/2023-04:00,23141.24219,23141.24219,23152.44922,23122.2207,23126.60547,0
02/01/2023-05:00,23128.27539,23128.27539,23167.71484,23128.27539,23142.82227,0
02/01/2023-06:00,23071.30664,23071.30664,23127.89453,23071.30664,23127.89453,0
02/01/2023-07:00,23091.33594,23091.33594,23119.29102,23052.35547,23072.92969,0
02/01/2023-08:00,22989.93945,22989.93945,23087.86719,22979.56641,23084.26758,222179328
02/01/2023-09:00,23013.82422,23013.82422,23030.74219,22960.45508,22989.77148,93704192
02/01/2023-10:00,23016.99414,23016.99414,23026.38086,22971.46875,23013.80469,0
02/01/2023-11:00,23075.47656,23075.47656,23094.96094,23013.99609,23016.28125,77869056
02/01/2023-12:00,23073.53516,23073.53516,23100.53516,23072.34766,23072.75,0
02/01/2023-13:00,23104.65039,23104.65039,23136.88281,23042.43164,23071.46094,0
02/01/2023-14:00,23116.50977,23116.50977,23142.10938,23060.51367,23103.40039,0
02/01/2023-15:00,23005.1875,23005.1875,23114.95117,22978.43945,23114.95117,60555264
02/01/2023-16:00,22986.75391,22986.75391,23040.67188,22978.31055,22997.0918,0
02/01/2023-17:00,23001.41406,23001.41406,23042.14648,22964.86914,22990.98438,0
02/01/2023-18:00,23097.67969,23097.67969,23097.67969,22970.63281,23001.25586,391512064
02/01/2023-19:00,23395.91992,23395.91992,23425.71875,22877.75,23099.58984,3253686272
02/01/2023-20:00,23543.38867,23543.38867,23605.52539,23370.76172,23389.10156,1692719104
02/01/2023-21:00,23693.92383,23693.92383,23758.06836,23544.86133,23544.86133,479547392
02/01/2023-22:00,23713.59766,23713.59766,23764.53906,23675.13672,23692.36914,0
02/01/2023-23:00,23721.75781,23721.75781,23764.53906,23710.15039,23712.79492,0
02/02/2023-00:00,24158.63281,24158.63281,24158.63281,23715.61914,23720.82422,1869010944
02/02/2023-01:00,23982.06445,23982.06445,24167.21094,23981.30664,24157.88477,800360448
02/02/2023-02:00,23910.53711,23910.53711,23984.89648,23874.12109,23979.60547,295577600
02/02/2023-03:00,23884.85547,23884.85547,23936.33789,23879.07422,23911.14648,149219328
02/02/2023-04:00,23906.75586,23906.75586,23910.23047,23864.65625,23886.69922,152709120
02/02/2023-05:00,23841.25391,23841.25391,23918.79102,23841.25391,23901.45313,222814208
02/02/2023-06:00,23785.89648,23785.89648,23837.58789,23731.13867,23837.58789,400216064
02/02/2023-07:00,23785.85742,23785.85742,23829.98828,23763.96875,23785.69141,0
02/02/2023-08:00,23815.52539,23815.52539,23847.20313,23785.54883,23785.54883,0
02/02/2023-09:00,23829.23438,23829.23438,23829.23438,23775.95313,23815.81641,62177280
02/02/2023-10:00,23799.60742,23799.60742,23842.32227,23792.36523,23828.78711,82540544
02/02/2023-11:00,23825.13086,23825.13086,23845.44727,23792.25977,23798.22461,0
02/02/2023-12:00,23812,23812,23835.14648,23790.48438,23828.31055,144519168
02/02/2023-13:00,23760.15234,23760.15234,23813.88477,23748.66602,23813.88477,92684288
02/02/2023-14:00,23697.9707,23697.9707,23906.00977,23697.9707,23760.96094,1207996416
02/02/2023-15:00,23844.84766,23844.84766,23872.19531,23602.05664,23678.0957,1117575168
02/02/2023-16:00,23821.71289,23821.71289,23875.11719,23795.33594,23845.0918,877658112
02/02/2023-17:00,23904.53516,23904.53516,23908.06641,23805.66406,23818.33594,356368384
02/02/2023-18:00,24065.15625,24065.15625,24091.53516,23895.18945,23899.5293,973668352
02/02/2023-19:00,23819.87891,23819.87891,24061.60938,23768.45313,24061.60938,0
02/02/2023-20:00,23830.20703,23830.20703,23830.41602,23786.58984,23817.51172,0
02/02/2023-21:00,23610.62305,23610.62305,23881.95508,23609.51758,23829.26172,0
02/02/2023-22:00,23588.82422,23588.82422,23602.89844,23484.73438,23587.86914,239054848
02/02/2023-23:00,23468.5957,23468.5957,23590.10742,23468.5957,23585.83008,0
02/03/2023-00:00,23565.34375,23565.34375,23581.61133,23469.41211,23469.41211,0
02/03/2023-01:00,23557.97266,23557.97266,23590.52734,23539.76758,23566.45703,0
02/03/2023-02:00,23478.67383,23478.67383,23578.98047,23443.95313,23557.42188,0
02/03/2023-03:00,23537.25977,23537.25977,23538.11719,23439.82617,23480.38086,118257664
02/03/2023-04:00,23534.50586,23534.50586,23561.2793,23526.08398,23537.00391,0
02/03/2023-05:00,23537.55859,23537.55859,23554.01367,23530.79883,23533.67969,0
02/03/2023-06:00,23520.5957,23520.5957,23555.7207,23517.30469,23537.63867,0
02/03/2023-07:00,23473.25977,23473.25977,23548.49414,23473.25977,23520.14258,150597632
02/03/2023-08:00,23421.9707,23421.9707,23474.44141,23390.63281,23470.94922,330256384
02/03/2023-09:00,23434.99219,23434.99219,23451.80078,23422.54102,23422.93359,9043968
02/03/2023-10:00,23438.65625,23438.65625,23444.27539,23390.38281,23435.16797,92084224
02/03/2023-11:00,23531.45117,23531.45117,23531.45117,23434.89063,23438.85547,389761024
02/03/2023-12:00,23533.46484,23533.46484,23554.37305,23507.5957,23530.08984,125659136
02/03/2023-13:00,23356.63672,23356.63672,23539.99023,23333.6543,23532.89453,954171392
02/03/2023-14:00,23519.51563,23519.51563,23545.92773,23318.89258,23357.82422,0
02/03/2023-15:00,23608.42773,23608.42773,23676.63281,23450.94141,23520.59766,45928448
02/03/2023-16:00,23575.79688,23575.79688,23678.10352,23575.79688,23608.12109,0
02/03/2023-17:00,23585.17578,23585.17578,23645.44922,23539.11719,23572.95898,80295936
02/03/2023-18:00,23436.81055,23436.81055,23576.85156,23422.35938,23576.85156,0
02/03/2023-19:00,23362.09766,23362.09766,23441.72461,23362.09766,23438.66406,0
02/03/2023-20:00,23357,23357,23393.45703,23279.95508,23357.95117,21811200
02/03/2023-21:00,23374.36133,23374.36133,23389.19141,23341.53906,23357.80859,0
02/03/2023-22:00,23438.50977,23438.50977,23438.50977,23375.70703,23375.70703,0
02/03/2023-23:00,23449.14648,23449.14648,23464.9082,23430.06641,23441.91016,0
02/04/2023-00:00,23420.93945,23420.93945,23463.41797,23410.77734,23446.32031,0
02/04/2023-01:00,23402.07813,23402.07813,23444.06836,23402.07813,23419.60938,0
02/04/2023-02:00,23400.49023,23400.49023,23404.85938,23376.56641,23404.85938,0
02/04/2023-03:00,23353.15234,23353.15234,23400.07617,23353.15234,23400.07617,0
02/04/2023-04:00,23345.75195,23345.75195,23364.22852,23332.96875,23353.23242,0
02/04/2023-05:00,23320.41406,23320.41406,23346.9375,23291.79492,23344.89648,0
02/04/2023-06:00,23349.20313,23349.20313,23349.20313,23299.70313,23322.04883,0
02/04/2023-07:00,23342.78906,23342.78906,23358.35156,23317.72266,23348.17969,0
02/04/2023-08:00,23319.75586,23319.75586,23351.04883,23317.06641,23341.08398,0
02/04/2023-09:00,23352.16602,23352.16602,23352.16602,23307.00977,23316.98828,0
02/04/2023-10:00,23355.85742,23355.85742,23365.42773,23347.67188,23352.39648,0
02/04/2023-11:00,23372.91211,23372.91211,23375.40625,23350.81836,23354.68359,0
02/04/2023-12:00,23410.75977,23410.75977,23410.75977,23365.12109,23372.50391,0
02/04/2023-13:00,23502.7793,23502.7793,23556.94922,23412.92578,23412.92578,0
02/04/2023-14:00,23462.29297,23462.29297,23508.51953,23437.77539,23502.88867,0
02/04/2023-15:00,23428.42969,23428.42969,23476.875,23409.44336,23464.61133,0
02/04/2023-16:00,23409.23828,23409.23828,23447.50586,23394.70117,23430.57227,0
02/04/2023-17:00,23453.67773,23453.67773,23457.58203,23405.54688,23412.46484,0
02/04/2023-18:00,23455.83594,23455.83594,23460.4375,23424.50195,23453.09961,0
02/04/2023-19:00,23436.70117,23436.70117,23460.62891,23433.83203,23453.59766,0
02/04/2023-20:00,23425.50781,23425.50781,23447.33203,23414.03711,23436.82813,0
02/04/2023-21:00,23424.16797,23424.16797,23427.73242,23406.2207,23424.16211,0
02/04/2023-22:00,23429.03906,23429.03906,23447.65039,23413.7207,23423.86133,0
02/04/2023-23:00,23329.74023,23329.74023,23433.125,23315.58203,23426.30273,94788608
02/05/2023-00:00,23283.05664,23283.05664,23368.5293,23283.05664,23332.24805,124532736
02/05/2023-01:00,23329.53516,23329.53516,23332.86328,23282.125,23282.125,37221376
02/05/2023-02:00,23312.82813,23312.82813,23351.5918,23312.82813,23328.83984,0
02/05/2023-03:00,23340.38086,23340.38086,23342.46094,23305.92188,23311.49023,27057152
02/05/2023-04:00,23376.60938,23376.60938,23379.37109,23340.05078,23340.05078,0
02/05/2023-05:00,23389.44922,23389.44922,23397.55078,23371.55859,23376.44336,0
02/05/2023-06:00,23404.69727,23404.69727,23413.40234,23361.14453,23390.44336,5963776
02/05/2023-07:00,23390.07617,23390.07617,23414.61523,23383.03125,23405.42969,0
02/05/2023-08:00,23409.39844,23409.39844,23423.43555,23386.24805,23391.2207,49857536
02/05/2023-09:00,23380.31055,23380.31055,23415.44336,23378.9375,23409.02148,0
02/05/2023-10:00,23407.15625,23407.15625,23411.80078,23376.98242,23381.33789,0
02/05/2023-11:00,23379.6543,23379.6543,23416.51367,23369.01367,23407.81836,147315712
02/05/2023-12:00,23170.60156,23170.60156,23384.24023,23139.46875,23379.13867,544840704
02/05/2023-13:00,23187.49609,23187.49609,23227.46094,23118.88281,23168.89648,91201536
02/05/2023-14:00,23201.74805,23201.74805,23223.42969,23178.38477,23184.97461,26700800
02/05/2023-15:00,23122.10352,23122.10352,23214.80469,23102.97266,23200.125,275629056
02/05/2023-16:00,23092.48242,23092.48242,23155.125,23075.28711,23122.76172,370443264
02/05/2023-17:00,22896.5625,22896.5625,23093.19727,22896.5625,23093.03125,1094432768
02/05/2023-18:00,22875.31641,22875.31641,22939.14453,22875.31641,22897.44531,356567040
02/05/2023-19:00,22920.02734,22920.02734,22920.97266,22841.75977,22872.50195,534308864
02/05/2023-20:00,22895.95508,22895.95508,22946.04883,22887.0918,22919.27148,146974720
02/05/2023-21:00,22906.77539,22906.77539,22910.73242,22861.54297,22895.71289,243505152
02/05/2023-22:00,22996.46875,22996.46875,23024.90234,22906.9082,22908.36719,384677888
02/05/2023-23:00,22957,22957,22998.25,22938.64258,22998.02148,0
02/06/2023-00:00,23060.75195,23060.75195,23081.58398,22945.30664,22954.02148,23095296
02/06/2023-01:00,22998.47656,22998.47656,23067.06445,22996.84961,23061.93555,0
02/06/2023-02:00,22913.2168,22913.2168,23010.70117,22913.2168,22998.31836,95125504
02/06/2023-03:00,22909.91602,22909.91602,22935.88672,22884.87305,22909.125,147273728
02/06/2023-04:00,22889.41602,22889.41602,22934.85352,22888.80078,22908.74023,21579776
02/06/2023-05:00,22786.81055,22786.81055,22894.87891,22734.48242,22886.11133,821516288
02/06/2023-06:00,22799.48047,22799.48047,22809.91797,22749.41016,22788.11328,236310528
02/06/2023-07:00,22880.66602,22880.66602,22880.92188,22775.66211,22796.87109,361725952
02/06/2023-08:00,22868.7207,22868.7207,22911.28125,22860.32813,22881.72852,484134912
02/06/2023-09:00,22843.20313,22843.20313,22883.46484,22835.35547,22868.49609,246626304
02/06/2023-10:00,22845.25391,22845.25391,22862.82813,22824.99805,22843.61328,242558976
02/06/2023-11:00,22880.10547,22880.10547,22880.10547,22771.3125,22846.03516,381337600
02/06/2023-12:00,22893.54297,22893.54297,22926.91016,22851.92773,22880.27148,0
02/06/2023-13:00,22841.50195,22841.50195,22921.81641,22840.32617,22894.94922,0
02/06/2023-14:00,22813.62305,22813.62305,22883.10352,22809.03516,22841.91992,521119744
02/06/2023-15:00,22997.98633,22997.98633,22997.98633,22777.13477,22824.08594,603492352
